actor_id,actor_name,drama_name,role,character_name,kdrama_id
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,The Fiery Priest,Main Role,Goo Dae Young,fbf2245657d54781b92f6e0d05e9e472
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,Untouchable,Main Role,Jang Ki Seo,67b6e5fc7921414f962a047e253ab795
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,D.P. Season 2,Main Role,Im Ji Sup,5ffcbeaa17114714af1959129984274c
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,Big Bet Season 2,Main Role,Oh Seung Hoon,a7edc4aac88b46c28b03f1e1e15ce750
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,Big Bet,Main Role,Oh Seung Hoon,4c2c09a237e04a379d6c0087df3b11b6
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,My Liberation Notes,Main Role,Mr Gu,71d79b59f4744377a669552542d72d2a
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,D.P.,Main Role,Im Ji Sup,d4d060cfc1ff4c9bbf42f88914566a89
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,Designated Survivor: 60 Days,Main Role,Cha Young Jin,04fc69715c0d4954987a715b42f119b8
ae6f79e3-a94e-492d-8d75-6eb797accd72,Son Suk Ku,Matrimonial Chaos,Main Role,Lee Jang Hyun,dc2f48cd11334801bf5a2c786c487100
b9c2fd2a-86a8-40c6-86c5-0d0b12397dd1,Kim Ji Hyun,D.P. Season 2,Support Role,Seo Eun,5ffcbeaa17114714af1959129984274c
b9c2fd2a-86a8-40c6-86c5-0d0b12397dd1,Kim Ji Hyun,Thirty-Nine,Main Role,Jang Joo Hee,707f130f562c4d4e97cc586955e8161d
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,D.P. Season 2,Support Role,Goo Ja Woon,5ffcbeaa17114714af1959129984274c
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,The Road: The Tragedy of One,Main Role,Baek Soo Hyun,69243e93b048442ba6d6d9057129a021
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,Undercover,Main Role,Han Jung Hyun Present,d70aea9eb9f140fbb2d588ad86849e18
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,Designated Survivor: 60 Days,Main Role,Park Moo Jin,04fc69715c0d4954987a715b42f119b8
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,Misty,Main Role,Kang Tae Wook,0b853ae3ec764d24b365e55a0959cb85
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,Second to Last Love,Main Role,Ko Sang Shik,6d8bfe21fcf04dac908b8a5da975e4a1
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,I Have a Lover,Main Role,Choi Jin Eon,40eb2c42bb3c4396a05d5727902061ce
2cc4c1b9-5bb7-45f2-8ee2-390add913688,Ji Jin Hee,Blood,Main Role,Surgeon Lee Jae Wook,7bfcc3d58ce647708af55866d8ba4633
f296027f-a20b-467d-b2f2-73cc6e133585,Lee Sung Min,Shadow Detective Season 2,Main Role,Kim Taek Rok,65075cb9c1a54be4a441cee6f16c9fdf
f296027f-a20b-467d-b2f2-73cc6e133585,Lee Sung Min,Reborn Rich,Main Role,Jin Yang Cheol,3480df3c84b54e9ca6f820f9b7b46fc4
f296027f-a20b-467d-b2f2-73cc6e133585,Lee Sung Min,Shadow Detective,Main Role,Kim Taek Rok,dccdc72a8f634dcb852888d5a56ded83
f296027f-a20b-467d-b2f2-73cc6e133585,Lee Sung Min,Juvenile Justice,Main Role,Kang Won Joong,bee48d7a0ee44413bd68a8e232194d67
f296027f-a20b-467d-b2f2-73cc6e133585,Lee Sung Min,Money Game,Main Role,Heo Jae,68fda71021664349b25b6e519af9d4ae
f296027f-a20b-467d-b2f2-73cc6e133585,Lee Sung Min,Memory,Main Role,Park Tae Suk,798c92ba5b7b4c91a62cd7bb080da6f6
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Shadow Detective Season 2,Main Role,Choi Do Hyung,65075cb9c1a54be4a441cee6f16c9fdf
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Yonder,Main Role,Doctor K,9cfc4deaaa9e47398853207cfbda416f
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,May It Please the Court,Main Role,Jang Gi Do,afce304dbfa1470dbde67f249b77e292
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Bulgasal: Immortal Souls,Support Role,Kwon Ho Yeol Dan Geuk Dan Sols father Warlord,fbbb973ea84c45b190a58b3db6d22c1a
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Police University,Main Role,Kang Sun Ho,e9004b8c487b45b79eba6a959b01ea36
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,My Unfamiliar Family,Main Role,Kim Sang Shik,480b8a8a4a434c0fa86efbe129fb4119
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,My First First Love Season 2,Main Role,Seo Do Hyun,7ab4e4a033e543549081b1162081fd2a
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Chief of Staff,Main Role,Lee Sung Min,846a9fa848df48a99b2dc4a05a944d02
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,My First First Love,Main Role,Seo Do Hyun,2a766fde0320421abaa5bfeb73c27bb6
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Wind-Bell,Main Role,Daniel Lee Geon Woo,66082905458147ceb5c0abec83b06b23
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Sketch,Support Role,Jang Tae Joon,c2043b177fe34cceaf965f58e9795f57
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Love in the Moonlight,Main Role,Kim Yoon Sung,684d79148a064fc3b8e40cebc62a9ff4
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Love Detective Sherlock K,Main Role,Geum Kang San,fff500c6bfe746e8968e4c22676859b3
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Glamorous Temptation,Main Role,Kang Seok Hyun,a25bfd6796ff4a63b47ca12a26ede1ca
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,Warm and Cozy,Support Role,Jung Pung San,81c8f1d83d764795b44fb12b638ac4a5
e9d9aa90-c789-409a-ab2d-4d6a9e1db861,Jung Jin Young,"Persevere, Goo Hae Ra",Main Role,Kang Se Chan Ray,1dc8ab07bfc84933903019201aa925d7
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Shadow Detective Season 2,Main Role,Lee Sung Ah,65075cb9c1a54be4a441cee6f16c9fdf
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Shadow Detective,Main Role,Lee Sung A,dccdc72a8f634dcb852888d5a56ded83
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Mouse,Main Role,Choi Hong Joo,a98e288b35eb4fea9185772b021755a3
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Train,Main Role,Han Seo Kyung,c351262ceb2d4e94833ff3448ea77aa5
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Joseon Survival,Main Role,Lee Hye Jin,c97d39987bab4cec816c6439667a971c
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Meloholic,Main Role,Han Ye Ri Han Joo Ri,f95d9fc731064e139a608e053de47d40
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,Weightlifting Fairy Kim Bok Joo,Main Role,Song Shi Ho,1e6166835671493b8f361163f64997d0
debf2d2e-7a67-48b0-b8d3-b6e45068ef95,Kyung Soo Jin,House of Bluebird,Main Role,Kang Yeong Joo,0072475106ba4c0fa6dc1d4cde061c15
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Shadow Detective Season 2,Main Role,Son Kyung Chan,65075cb9c1a54be4a441cee6f16c9fdf
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Shadow Detective,Main Role,Son Kyung Chan,dccdc72a8f634dcb852888d5a56ded83
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Artificial City,Main Role,Han Dong Min,056a9d09a3e64ae1ae175722ec8a8e7a
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Political Fever,Main Role,Kim Soo Jin,516e402696254365ab6bfac5755a1856
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,My Name,Support Role,Jung Tae Joo,9e3a7ea7a3724ae1863bafc75aa286f4
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Sweet Munchies,Main Role,Kang Tae Wan,2077b3ccea1e46019d0a3c94f36f26f5
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Justice,Support Role,Ma Dong Hyuk Detective,3abde6bdc0c84a50a63bb75aec86c4b7
d60d263e-f39e-47e2-8cb2-dd0151a2a061,Lee Hak Joo,Tong: Memories,Main Role,Lee Jeong Woo,6579df6d65fd47438ad968f14753e6ae
d7738979-662d-45fc-b694-0855f5edb53c,Kim Shin Rok,Shadow Detective Season 2,Main Role,Yeon Joo Hyeon,65075cb9c1a54be4a441cee6f16c9fdf
d7738979-662d-45fc-b694-0855f5edb53c,Kim Shin Rok,One Ordinary Day,Support Role,Ahn Tae Hee Elite prosecutor,92ed12688d5446e8884f4a553c1111b4
d7738979-662d-45fc-b694-0855f5edb53c,Kim Shin Rok,Beyond Evil,Main Role,Oh Ji Hwa,427e07e2d7034856b2c6ed86ee178155
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,Shadow Detective Season 2,Support Role,Lee Young Ho,65075cb9c1a54be4a441cee6f16c9fdf
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,WATCHER,Support Role,Park Jin Woo Deputy commissioner,e509c1795c104a239bfb9afde034373c
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,Big Issue,Main Role,Han Seok Joo,2dd1be751b5c4e599998ba09e9deab3a
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,The Sound of Your Heart: Reboot Season 2,Support Role,Jo Suks father,d48b2622134642938e165e8c16cc6074
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,The Sound of Your Heart: Reboot,Support Role,Jo Suks father,2ac90b65d3164bb7888e7448011c8434
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,Partners for Justice,Support Role,Park Joong Ho,df82cba2cf0145f78f627be847dc0307
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,Bad Guys: City of Evil,Main Role,Heo Il Hoo,152309284b7c472b86fbe5ca325ac114
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,Woman with a Suitcase,Main Role,Ham Bok Geo,307bd6f5814643e3b45a8bc1a81b8953
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,Cheo Yong Season 2,Support Role,Kang Gi Young,cafc2cc60640463a8dc10a5ee7bb4cf9
72ef270a-e6e6-47ff-b55d-6019462f034d,Joo Jin Mo,My Love Eun Dong,Main Role,Ji Eun Ho Park Hyun Soo,1d1efb71ac3d421c8f079a9e770826c6
f3e3fdc4-dee6-482f-b3f4-362e46970e56,Baek Hyo Won,To Be Honest,Main Role,Song Na Eun,df0f0ac4b3ff4b15afa26f5a7a53a328
8ee94faf-4abf-466c-8d72-a9219d8deb22,Park Gyu Young,Celebrity,Main Role,Seo Ah Ri,04c1fe41948e464fb440001831d74d41
8ee94faf-4abf-466c-8d72-a9219d8deb22,Park Gyu Young,Dali and the Cocky Prince,Main Role,Kim Da Li,ddc829b4c170484d94efedfb4cb29f3d
8ee94faf-4abf-466c-8d72-a9219d8deb22,Park Gyu Young,The Devil Judge,Main Role,Yoon Soo Hyun,22dca69dbdb74efa9566fa28551fbf5e
8ee94faf-4abf-466c-8d72-a9219d8deb22,Park Gyu Young,It's Okay to Not Be Okay,Support Role,Nam Joo Ri Nurse and Gang Taes coworker,3242a1ff2fee4743bd65402415b4995f
8ee94faf-4abf-466c-8d72-a9219d8deb22,Park Gyu Young,Miss Independent Ji Eun,Main Role,Kim Ji Eun,67903f9725c5475a918093e4c94840c0
57846ec6-f628-45e3-b26e-d9d1d1c3aafc,Kang Min Hyuk,Celebrity,Main Role,Han Joon Kyung,04c1fe41948e464fb440001831d74d41
57846ec6-f628-45e3-b26e-d9d1d1c3aafc,Kang Min Hyuk,Oh My Ladylord,Main Role,Jung Yu Jin,2241ffa46adc4357854ace02d3b132ba
57846ec6-f628-45e3-b26e-d9d1d1c3aafc,Kang Min Hyuk,How to Be Thirty,Main Role,Lee Seung Yoo,851092045b924c04a15298dd9c199c0f
57846ec6-f628-45e3-b26e-d9d1d1c3aafc,Kang Min Hyuk,Hospital Ship,Main Role,Kwak Hyun,87f15fa16c5f458fa49495d3f445f5ab
57846ec6-f628-45e3-b26e-d9d1d1c3aafc,Kang Min Hyuk,Entertainer,Main Role,Jo Ha Neul,d0fc0450c87440249b795a9cfcba985f
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,Celebrity,Main Role,Yoon Shi Hyun,04c1fe41948e464fb440001831d74d41
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,Awaken,Main Role,Jamie Leighton,e0fffafb8be94fe3a0d55b1fa0139ede
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,V.I.P,Main Role,Lee Hyun Ah,d8c5b9d076c7417e90550885d67b59c2
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,Sweet and Salty Office,Main Role,Do Eun Soo,00dd656d7be045ab8095552dca93d741
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,The Best Moment To Quit Your Job,Main Role,Sun Hee,8ac00b4a654c41e2ae7f72bf99e63a6a
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,Lucky Romance,Main Role,Han Sul Hee Amy,976266a940314f6cad9b826c6d532617
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,Vampire Detective,Support Role,Yo Na,a04e1c52577141549af10de3adc0969c
049fd62e-efd5-4a8f-8524-0771bb5eca08,Lee Chung Ah,Riders: Catch Tomorrow,Main Role,Yoon So Dam,f98aa2504ff04bbab21e4afee1000341
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Celebrity,Main Role,Jin Tae Jeon,04c1fe41948e464fb440001831d74d41
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Leverage,Main Role,Lee Tae Joon,0693326f6a9a4a2f8b1e07d4ae4cd990
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Angel's Last Mission: Love,Main Role,Ji Kang Woo,3eb2d9b2312a4c2eb2501eac60db87b7
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Where Stars Land,Main Role,Seo In Woo,27ba0d4069584672953841db56a57906
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Sketch,Support Role,Kim Do Jin,c2043b177fe34cceaf965f58e9795f57
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Queen for Seven Days,Main Role,Yi Yoong King Yeonsangun,fc844c8fd7454a87a275cd2fde7b7dc0
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,The Gentlemen of Wolgyesu Tailor Shop,Main Role,Lee Dong Jin,591ece7671704aa3be9f2055fdbcfe92
c3e270a9-351a-480d-830c-722bf9e7eb87,Lee Dong Gun,Super Daddy Yeol,Main Role,Han Yeol,1d4c49e5140c42aeaf79f0ee383e73b6
2623c19a-fc38-4b2e-a167-2a89f63cd302,Jeon Hyo Sung,Celebrity,Main Role,Oh Min Hye,04c1fe41948e464fb440001831d74d41
2623c19a-fc38-4b2e-a167-2a89f63cd302,Jeon Hyo Sung,Memorist,Support Role,Kang Ji Eun,55db777c2612478eae9f3051fada16a8
2623c19a-fc38-4b2e-a167-2a89f63cd302,Jeon Hyo Sung,The Pure Memories of My Heart,Main Role,Han Seo Rin,c412682c2d68435b9e08a9f7cd69480f
2623c19a-fc38-4b2e-a167-2a89f63cd302,Jeon Hyo Sung,Introverted Boss,Support Role,Kim Gyo Ri,4e2a188cc4944d96bcd66e50b73ab476
2623c19a-fc38-4b2e-a167-2a89f63cd302,Jeon Hyo Sung,Cheo Yong Season 2,Main Role,Han Na Young,cafc2cc60640463a8dc10a5ee7bb4cf9
11b5153b-1328-43af-9331-2dd66dcf0706,Han Jae In,Celebrity,Support Role,Jin Chae Hee Influencer,04c1fe41948e464fb440001831d74d41
02d5fb02-9775-4e54-a01d-64d2fbcb0b0e,Choi Da Hye,Blue Temperature,Main Role,Soo Ah,2e06f3f0c28942fd8b8e4780f5e666dc
fe6a9a1a-46cc-4d06-881e-176320a196e5,Cho Han Gyeol,Blue Temperature,Main Role,Soo Hyuk,2e06f3f0c28942fd8b8e4780f5e666dc
fe6a9a1a-46cc-4d06-881e-176320a196e5,Cho Han Gyeol,Love Mate,Main Role,Jeong Ha Ram,756ab26b55c44e1da0c6ede35d41b712
fe6a9a1a-46cc-4d06-881e-176320a196e5,Cho Han Gyeol,Let Me Off the Earth,Main Role,Cho Han Gyeol,4a2e3d8c5bef496b9b78c2a4fb5ab8c9
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,Numbers,Main Role,Jang Ho Woo,e632ba76285f438d9448852dd31bcd96
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,"The King of Tears, Lee Bang Won",Support Role,Lee Bang Gwa King Jeongjong,13d4dd9fa77c4e1594c40344dbe4e3f1
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,Secret Royal Inspector,Main Role,Sung Yi Gyum,0679eb9055a949f7bac39d0c5dda5597
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,"Meow, the Secret Boy",Main Role,Hong Jo,33ffdae790b541818394230e72c9ec4e
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,Angel's Last Mission: Love,Main Role,Kim Dan Yoo Seong Woo,3eb2d9b2312a4c2eb2501eac60db87b7
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,Miss Hammurabi,Main Role,Im Ba Reun,2e3b7623586d412f9a8d7252a739d46b
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,The Emperor: Owner of the Mask,Main Role,Commoner Lee Sun,88b080a4f54e49eb94d420e76506de79
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,One More Time,Main Role,Yoo Tan,d25c506444d34cc9b5376e8124d85527
d1a63dae-02b1-4f37-96db-a1623c713493,Kim Myung Soo,TV Novel: My Mind’s Flower Rain,Support Role,Park Min Kyu,667eafe69dd64045ab99261a68598c54
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Numbers,Main Role,Han Seung Jo,e632ba76285f438d9448852dd31bcd96
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Focus to You 3,Main Role,Hui Mang,edec2115796a48988b7ba36135a8e457
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Focus to You 2,Guest Role,Hui Mang Ep 6,095b0dafb5534f6bb53d475580749777
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Zombie Detective,Main Role,Kim Moo Young Kang Min Ho,31f0ed457f9e4989966116dc6ba7a0d0
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Rugal,Main Role,Kang Ki Beom,cf71f66a049b4774895c012203f8fd11
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Justice,Main Role,Lee Tae Kyung,3abde6bdc0c84a50a63bb75aec86c4b7
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,The Last Empress,Main Role,Na Wang Shik Chun Woo Bin,dd5206730b30434e81c4a442385cd436
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Devilish Joy,Main Role,Gong Ma Sung,b792c56d82214ccebbd626e0fc3e7c4c
7ac5ded3-c8ee-4174-aaf5-1f5b7cab0658,Choi Jin Hyuk,Tunnel,Main Role,Park Kwang Ho,c15d09c2b41747bb838a52fa4e45184e
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,Numbers,Main Role,Han Je Kyun,e632ba76285f438d9448852dd31bcd96
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,Extracurricular,Support Role,Lee Wang Cheol Ji Soos muscleman,1ea5167c67f54d39a3d986bd93a2e21b
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,Love as You Taste,Main Role,Cha Won Du,6d8bbf6c7ffe495a96d8403f7ba0781f
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,SURF 101: Intro to Romance,Main Role,Jung Woo,70905dc90cbd468494365a913ee8068b
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,Lawless Lawyer,Main Role,Ahn Oh Joo,904d03fcc0ac4b09a6cfeca04ba398a5
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,Man Who Dies to Live,Main Role,Count Saeed Fahd Ali Jang Dal Koo,ff1d52f9f5954d698f0259a4467f56da
5fce0bd4-e355-49ee-8fdd-fc8ecd5d113d,Choi Min Soo,The Royal Gambler,Main Role,King Suk Jong,232ec98c164c477db63118eba1874969
